event_time,down_time,pressure,major_axis,minor_axis,size,user
3105937200,3105937200,0.49803925,9.992772,9.992772,0.099999994,1
3110385000,3110385000,0.49803925,8.993495,8.993495,0.089999996,0
3110385000,3110385000,0.49803925,7.9942174,7.9942174,0.08,0
3110385000,3110385000,0.49803925,7.9942174,7.9942174,0.08,0
3110385200,3110385200,0.49803925,6.9949403,6.9949403,0.07,0
3110385200,3110385200,0.49411768,6.9949403,6.9949403,0.07,0
3110385200,3110385200,0.49411768,6.9949403,6.9949403,0.07,0
3110385400,3110385400,0.49803925,5.995663,5.995663,0.06,0
3110385400,3110385400,0.49411768,5.995663,5.995663,0.06,0
3110385400,3110385400,0.4901961,4.996386,4.996386,0.049999997,0
3110385400,3110385400,0.4901961,4.996386,4.996386,0.049999997,0
3110385400,3110385400,0.49803925,6.9949403,6.9949403,0.07,0
3110385700,3110385400,0.49411768,5.995663,5.995663,0.06,0
3110385700,3110385400,0.49411768,5.995663,5.995663,0.06,0
3110385700,3110385700,0.49803925,7.9942174,7.9942174,0.08,0
3110386000,3110385700,0.49803925,7.9942174,7.9942174,0.08,0
3110386000,3110386000,0.49803925,7.9942174,7.9942174,0.08,0
3110386000,3110386000,0.49411768,6.9949403,6.9949403,0.07,0
3110386000,3110386000,0.49411768,6.9949403,6.9949403,0.07,0
3110386200,3110386200,0.49803925,7.9942174,7.9942174,0.08,0
3110386200,3110386200,0.49411768,7.9942174,7.9942174,0.08,0
3110386200,3110386200,0.49411768,7.9942174,7.9942174,0.08,0
3110386400,3110386400,0.49803925,5.995663,5.995663,0.06,0
3110386400,3110386400,0.49411768,5.995663,5.995663,0.06,0
3110386400,3110386400,0.49411768,5.995663,5.995663,0.06,0
3110386700,3110386700,0.49803925,7.9942174,7.9942174,0.08,0
3110386700,3110386700,0.49411768,7.9942174,7.9942174,0.08,0
3110386700,3110386700,0.49411768,7.9942174,7.9942174,0.08,0
3110387000,3110387000,0.49803925,5.995663,5.995663,0.06,0
3110387000,3110387000,0.49411768,4.996386,4.996386,0.049999997,0
3110387000,3110387000,0.49411768,4.996386,4.996386,0.049999997,0
3110387200,3110387200,0.49803925,8.993495,8.993495,0.089999996,0
3110387200,3110387200,0.49803925,7.9942174,7.9942174,0.08,0
3110387200,3110387200,0.49803925,7.9942174,7.9942174,0.08,0
3110387200,3110387200,0.49803925,7.9942174,7.9942174,0.08,0
3110387500,3110387200,0.49411768,6.9949403,6.9949403,0.07,0
